"Zone","Post.Code","Destination.zone","State"
"Sydney","1587","Inter State Capital","NSW"
"Sydney","1588","Inter State Capital","NSW"
"Sydney","1589","Inter State Capital","NSW"
"Sydney","1590","Inter State Capital","NSW"
"Sydney","1591","Inter State Capital","NSW"
"Sydney","1592","Inter State Capital","NSW"
"Sydney","1593","Inter State Capital","NSW"
"Sydney","1594","Inter State Capital","NSW"
"Sydney","1595","Inter State Capital","NSW"
"Sydney","1596","Inter State Capital","NSW"
"Sydney","1597","Inter State Capital","NSW"
"Sydney","1598","Inter State Capital","NSW"
"Sydney","1599","Inter State Capital","NSW"
"Sydney","1600","Inter State Capital","NSW"
"Sydney","1601","Inter State Capital","NSW"
"Sydney","1602","Inter State Capital","NSW"
"Sydney","1603","Inter State Capital","NSW"
"Sydney","1604","Inter State Capital","NSW"
"Sydney","1605","Inter State Capital","NSW"
"Sydney","1606","Inter State Capital","NSW"
"Sydney","1607","Inter State Capital","NSW"
"Sydney","1608","Inter State Capital","NSW"
"Sydney","1609","Inter State Capital","NSW"
"Sydney","1610","Inter State Capital","NSW"
"Sydney","1611","Inter State Capital","NSW"
"Sydney","1612","Inter State Capital","NSW"
"Sydney","1613","Inter State Capital","NSW"
"Sydney","1614","Inter State Capital","NSW"
"Sydney","1615","Inter State Capital","NSW"
"Sydney","1616","Inter State Capital","NSW"
"Sydney","1617","Inter State Capital","NSW"
"Sydney","1618","Inter State Capital","NSW"
"Sydney","1619","Inter State Capital","NSW"
"Sydney","1620","Inter State Capital","NSW"
"Sydney","1621","Inter State Capital","NSW"
"Sydney","1622","Inter State Capital","NSW"
"Sydney","1623","Inter State Capital","NSW"
"Sydney","1624","Inter State Capital","NSW"
"Sydney","1625","Inter State Capital","NSW"
"Sydney","1626","Inter State Capital","NSW"
"Sydney","1627","Inter State Capital","NSW"
"Sydney","1628","Inter State Capital","NSW"
"Sydney","1629","Inter State Capital","NSW"
"Sydney","1630","Inter State Capital","NSW"
